[2022-10-31 14:44:54.802] [pxr_streamer] [info] ***********  Log Begin **********
[2022-10-31 14:44:54.802] [pxr_streamer] [info] process id= 16380
[2022-10-31 14:44:54.802] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x57602470
[2022-10-31 14:44:54.811] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x57602470
[2022-10-31 14:44:54.811] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x57602470
[2022-10-31 14:44:57.847] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x57602470
[2022-10-31 14:45:00.894] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x57602470
[2022-10-31 14:45:03.931] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x57602470
[2022-10-31 14:45:06.973] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x57602470
[2022-10-31 14:45:10.004] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x57602470
[2022-10-31 14:45:13.055] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x57602470
[2022-10-31 14:45:16.102] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x57602470
